opinionText,opinionTitle,starRating
"Ist das denn nicht schon Diskriminierung? Da wird im Internet angekündigt, daß für Bestands- kunden (bei uns über 4 Jahrzehnte) die Preise für DSL zum 1.4.26 erhöht werden sollen.  Parallel läuft jeden Tag teuerste Werbung in allen Medien mit lukrativen Sonderangeboten. Also subventioniert man Rabatte mit teuren Altverträgen.  Ich kann viele Meinungen zur Telekom verstehen.",Ist es schon Diskriminierung von Bestandskunden?,Valorada con 1 estrellas sobre 5
"Am 19. Januar habe ich den unglücklichen Vertrag für einen Heim-Internetanschluss unterschrieben. Am 23. Januar war der erste Termin für die Installation der Geräte, am 30. Januar der zweite Termin und am 6. Februar der dritte Termin. Der Techniker ist jedoch zu keinem dieser Termine erschienen. Heute, am 17. Februar, habe ich immer noch kein Internet. Im Shop weigert man sich, den Vertrag zu kündigen. Ich bitte Sie, den Vertrag zu kündigen und mir die Bestätigung per E-Mail zuzusenden. Waiblingen, 71334","Erfolgloser Versuch, einen Heim-Internetanschluss einzurichten.",Valorada con 1 estrellas sobre 5
"Von Telekom auf andere Anbieter gewechselt,( Vertrag gekündigt ). Trotzdem viele Monate wegen dem alten (Telekom) Router gezahlt ohne Vertrag. Beim Telefonat mit Telekom wurde mir gesagt , Router wird aus dem System genommen und es kommen keine weiteren Kosten auf mich zu . Den alten Telekom Router soll ich entsorgen. Warum wird es nicht gleich aus dem System genommen nach Vertragsende.",Kein Vertrag Trotzdem für den alten Router weitergezahlt der entsorgt werden soll,Valorada con 1 estrellas sobre 5
"Vertreter der Telekom klingeln im ganzen Haus Sturm. So lange, bis endlich jemand öffnet. Sie schaffen sich Zutritt ins Haus auf absolut respektlose Weise! ",Vertreter Telekom verschafft sich Zutritt der Telekom klingeln im…,Valorada con 1 estrellas sobre 5
"Schrecklich,abzocker,schleichte Kunden Berater,schleichte Internet,alles was ihr denkt damit ihr zufrieden wird ist falsch,einfach suchen Sie lieber andere Anbieter ","Schrecklich,abzocker,schleichte Kunden…",Valorada con 1 estrellas sobre 5
"Bei meinem Magenta Tarif funktionierte von einem Tag auf den anderen Live TV nicht mehr. Die I-Net Leitung ist einwandfrei, aber der Telekom Receiver meldet Paketverluste. Jetzt kommen die Telefonate mit der Telekom. Vor ein paar Jahren waren solche Anrufe bis auf die Wartezeit noch top. Jetzt eine Katastrophe. Erst eine KI, die nix kapiert, dann stundenlanges warten und dann Callcenter Agents, die nichts verstehen, nur noch vorgegebene Antworten geben und keinerlei Ahnung von dem haben, über was sie eigentlich reden. Mir wurde erzählt, dass die Telekom dwn Anschluss auf Gen. 2 umstellt und ich jetzt einfach Mal einen 10 eue teureren Tarif bräuchte. Also stellt die Telekom einfach Mal anschlüsse um, ohne ihre Kunden zu informieren und zwingt diese somit zu teureren Tarifen, damit sie die gleiche Leistung weiter erhalten können. Bestandskunden, welcher seit Jahrzehnten bei der Telekom sind bekommen natürlich nicht ein kleines goodie ....das bekommen nur Neukunden, ist ja klar. Hoffentlich fällt dem betrügerischen Drecksladen bald so ein Getue auf die füsse. Es wird Zeit dass hier vernünftige private alternativen auf den Markt kommen, damit die von ihrer Monopolstellung weg kommen. Wer in wie r Gegend lebt, wo es Alternativen gibt: Glückwunsch. nutzt bitte alles, nur nicht die Telekom. Diesen Rat kann ich nur jedem geben. ","Telekom - ein Monopolist,der seine Kunden mit Füssen tritt",Valorada con 1 estrellas sobre 5
Dieses Unternehmen ist die Definition von Bodenlos oder alternativ „Kundenfeindlichkeit“. Keine Möglichkeit normal in absolut kritischen Fällen mit dem Unternehmen in Kontakt zu treten. ,Dieses Unternehmen ist die Definition…,Valorada con 1 estrellas sobre 5
"Guten Tag.  Ich schreibe normalerweise nur Rezensionen, wenn ich zufrieden bin.  Jetzt ist die Enttäuschung zu groß und der Frust muss raus.  Telekom wirbt mit Glasfaser und reibungslosem Einbau.  Eine einzige Katastrophe: Sechs Tage Urlaub für Nichts. Termine wurden nicht eingehalten oder die Mitarbeiter der Firma Euronet - mit der die Telekom den Glasfaser Ausbau vornimmt - konnten die Arbeiten nicht ausführen.  Warum sie es nicht konnten, erschließt sich mir nicht. Wahrscheinlich liegt es daran, dass sie 80cm graben müßten, um unter meiner Betonplatte in den Keller zu kommen. Das wurde aber vorher abgeklärt und wäre angeblich kein Problem. Die Firma Euronet ist telefonisch sehr schwer zu erreichen. Läuft es dann über die Telekom, erreicht die die Mitarbeiter von Euronet auch nicht.  Wochen später werde ich wieder benachrichtigt wegen eines neuen Termines und es wird mir versicher, dass die erforderlichen Arbeiten diesmal durchführt werden können.  So geht das seit 7 Monaten. Zudem zahle ich monatlich 16€ mehr als bei 1&1 für einen gleichwertigen Vertrag Einzig die Mitarbeiter/innen am Telefon der Telekom sind immer freundlich und hilfsbereit.",Guten Tag,Valorada con 1 estrellas sobre 5
"Seit einiger Zeit habe ich täglich mehrere Verbindungsabbrüche. Mindestens drei Mal am Tag werde ich komplett vom Internet getrennt. Zusätzlich funktioniert die Verbindung oft nur etwa einen halben Tag stabil, danach ist das Internet entweder sehr langsam oder gar nicht nutzbar.",Seit einiger Zeit habe ich täglich…,Valorada con 1 estrellas sobre 5
"Mail an Telekom-Kundenfeedback, am 06.02.2026: Habe Mitte April 2024 (!) unter AN 801007903, (in Telekom-Email vom 17.06.2024 lautet die AN: 91110605470), Kd.Nr. 2749163765, mit einem Herrn T. Winkler hier zuhause einen Vertrag für MagentaZuhause L - MagentaTV Smart 2.0 abgeschlossen. In einer von 23 (!) Emails, die ich seither von der Telekom bekam hieß es: Glasfasertarif inkl. Hardware wird voraussichtlich bis 30.04.2025 bereitgestellt.  ... Zwar ist im vergangenen Jahr von einem der Sub-Sub-Subunternehmer im Keller meines Hauses erst eine falsche (für 8 Wohnungen), dann Wochen später die richtige (für drei Wohnungen) Glasfaserdose (Hausanschluss) angebracht worden. Das war's dann. Ich habe versucht, von den rumänischen, kirgisischen und philippinischen Arbeitern zu erfahren, wann es weitergeht, aber nix Deutsch. Die Übersetzungs-App half uns auch nicht weiter.        Am Rande: Die Leute sahen arm, übermüdet, gestresst und abgerissen aus. Der Minibager, mit dem der Kabelgraben durch den Gehweg und zum Haus gezogen wurde, hatte Löcher in den Gummi-Raupenketten, die Faserarmierung hing in Fetzen herum und sämtliche Maschinen hinterließen große Öl- und Dieselflecken. Passt nicht recht zum großspurigen Auftreten der Telekom in der TV-Werbung und den Shops.  Nach Email-Anfrage bei Telekom letztes Jahr habe ich zweimal Termine für die Fertigstellung (Anschlussdose, Modem, Router-Montage) genannt bekommen. Nun haben wir den 15.02.2026 und im Gegensatz zu meinen Nachbarn rechts und links habe ich immer noch kein Glasfaser-Internet. Am 26.02.2026 wird mein aktueller Vodafone Kabelanschluss abgeschaltet. Auf mein o.a. Telekom-Kundenfeedback kam eine Telekom-Reaktion per Messenger: Wir kümmern uns um Ihren Auftrag. Und 2. Nachricht: Ihre Bestellung ist bald bei Ihnen.   Mit Hinweis: Antwort an diesen Kurzcode nicht möglich.  (!!!) Vorgestern kam ein Paket mit einem MagentaTV One Kästchen. Soll ich nun im Wohnzimmer ein Loch in die Wand bohren und den Stecker da rein stecken, oder was?   Nach rund 22 Monaten habe ich immer noch keinen funktionierenden GF-Anschluss, die Nachbarn rechts und links schon.  Einen Glasfaser-Haus- oder Wohnungsanschluss  und ein Glasfasermodem gibt es so wenig wie Kontakt mit einem Deutsch oder Englisch sprechenden Techniker, der mir das Chaos erläutern und für Abhilfe sorgen könnte.   Unglaublich! Werde den Kabelanbieter wechseln. P. Neu",Telekom - Kundenkontaktscheuer Ausbeuter?,Valorada con 1 estrellas sobre 5
