companyName,employees,industry,linkedin_id,page,revenue,source_url,url
Iberdrola,"8,5 mil+ empleados",Generación de energía eléctrica,8597,[1],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?savedSearchId=1980479034&sessionId=FUTibHswSPW8UMM4eB2KFQ%3D%3D,https://www.linkedin.com/company/8597/
everis,5 mil+ empleados,Servicios y consultoría de TI,4127,[1],5 mills. US$ - 10 mills. US$,https://www.linkedin.com/sales/search/company?savedSearchId=1980479034&sessionId=FUTibHswSPW8UMM4eB2KFQ%3D%3D,https://www.linkedin.com/company/4127/
Coxabengoa,4 mil+ empleados,Servicios y consultoría de TI,245369,[1],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?savedSearchId=1980479034&sessionId=FUTibHswSPW8UMM4eB2KFQ%3D%3D,https://www.linkedin.com/company/245369/
Randstad España,"3,5 mil+ empleados",Servicios de recursos humanos,1022257,[1],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?savedSearchId=1980479034&sessionId=FUTibHswSPW8UMM4eB2KFQ%3D%3D,https://www.linkedin.com/company/1022257/
Desigual,3 mil+ empleados,Comercio al por menor de prendas de vestir y moda,67845,[1],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?savedSearchId=1980479034&sessionId=FUTibHswSPW8UMM4eB2KFQ%3D%3D,https://www.linkedin.com/company/67845/
Minor Hotels Europe and Americas,"9,5 mil+ empleados",Hostelería,10254,[1],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?savedSearchId=1980479034&sessionId=FUTibHswSPW8UMM4eB2KFQ%3D%3D,https://www.linkedin.com/company/10254/
Puig,"5,5 mil+ empleados",Fabricación de productos de cuidado personal,12909,[1],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?savedSearchId=1980479034&sessionId=FUTibHswSPW8UMM4eB2KFQ%3D%3D,https://www.linkedin.com/company/12909/
Cepsa,"5,5 mil+ empleados",Petróleo y gas,162972,[1],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?savedSearchId=1980479034&sessionId=FUTibHswSPW8UMM4eB2KFQ%3D%3D,https://www.linkedin.com/company/162972/
Endesa,7 mil+ empleados,Servicios públicos,7022,[1],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?savedSearchId=1980479034&sessionId=FUTibHswSPW8UMM4eB2KFQ%3D%3D,https://www.linkedin.com/company/7022/
KPMG España,"5,5 mil+ empleados",Servicios profesionales,319336,[1],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?savedSearchId=1980479034&sessionId=FUTibHswSPW8UMM4eB2KFQ%3D%3D,https://www.linkedin.com/company/319336/
SACYR,6 mil+ empleados,Ingeniería civil,94516,[1],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?savedSearchId=1980479034&sessionId=FUTibHswSPW8UMM4eB2KFQ%3D%3D,https://www.linkedin.com/company/94516/
IE Business School,"3,5 mil+ empleados",Enseñanza superior,740718,[1],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?savedSearchId=1980479034&sessionId=FUTibHswSPW8UMM4eB2KFQ%3D%3D,https://www.linkedin.com/company/740718/
Gas Natural Fenosa,4 mil+ empleados,Petróleo y gas,11418,[1],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?savedSearchId=1980479034&sessionId=FUTibHswSPW8UMM4eB2KFQ%3D%3D,https://www.linkedin.com/company/11418/
FCC,5 mil+ empleados,Servicios medioambientales,444650,[1],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?savedSearchId=1980479034&sessionId=FUTibHswSPW8UMM4eB2KFQ%3D%3D,https://www.linkedin.com/company/444650/
Dragados SA,3 mil+ empleados,Construcción,38933,[1],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?savedSearchId=1980479034&sessionId=FUTibHswSPW8UMM4eB2KFQ%3D%3D,https://www.linkedin.com/company/38933/
OHLA,4 mil+ empleados,Construcción,654286,[1],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?savedSearchId=1980479034&sessionId=FUTibHswSPW8UMM4eB2KFQ%3D%3D,https://www.linkedin.com/company/654286/
Tecnocom,"1,5 mil+ empleado",Servicios y consultoría de TI,14025,[1],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?savedSearchId=1980479034&sessionId=FUTibHswSPW8UMM4eB2KFQ%3D%3D,https://www.linkedin.com/company/14025/
Massimo Dutti,"4,5 mil+ empleados",Comercio al por menor,2846742,[1],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?savedSearchId=1980479034&sessionId=FUTibHswSPW8UMM4eB2KFQ%3D%3D,https://www.linkedin.com/company/2846742/
Catenon,297 empleados,Dotación y selección de personal,13521,[1],50 mills. US$ - 100 mills. US$,https://www.linkedin.com/sales/search/company?savedSearchId=1980479034&sessionId=FUTibHswSPW8UMM4eB2KFQ%3D%3D,https://www.linkedin.com/company/13521/
FC Barcelona,"7,5 mil+ empleados",Espectáculos deportivos,37347,[1],50 mills. US$ - 100 mills. US$,https://www.linkedin.com/sales/search/company?savedSearchId=1980479034&sessionId=FUTibHswSPW8UMM4eB2KFQ%3D%3D,https://www.linkedin.com/company/37347/
FI Group,"2,5 mil+ empleados",Consultoría y servicios a empresas,498164,[1],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?savedSearchId=1980479034&sessionId=FUTibHswSPW8UMM4eB2KFQ%3D%3D,https://www.linkedin.com/company/498164/
IESE Business School,2 mil+ empleados,Programas de gestión educativa,164299,[1],100 mills. US$ - 500 mills. US$,https://www.linkedin.com/sales/search/company?savedSearchId=1980479034&sessionId=FUTibHswSPW8UMM4eB2KFQ%3D%3D,https://www.linkedin.com/company/164299/
SEAT S.A.,"7,5 mil+ empleados",Fabricación de vehículos de motor,248021,[1],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?savedSearchId=1980479034&sessionId=FUTibHswSPW8UMM4eB2KFQ%3D%3D,https://www.linkedin.com/company/248021/
ISOLUX CORSAN,"1,5 mil+ empleado",Construcción,92117,[1],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?savedSearchId=1980479034&sessionId=FUTibHswSPW8UMM4eB2KFQ%3D%3D,https://www.linkedin.com/company/92117/
RIU Hotels & Resorts,8 mil+ empleados,Hostelería,94867,[1],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?savedSearchId=1980479034&sessionId=FUTibHswSPW8UMM4eB2KFQ%3D%3D,https://www.linkedin.com/company/94867/
Talgo,2 mil+ empleados,Fabricación de locomotoras y material ferroviario,555307,[2],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=2&savedSearchId=1980479034&sessionId=Mv1i7ZniReqtbhCfuv4rnA%3D%3D,https://www.linkedin.com/company/555307/
Grupo Cobra,5 mil+ empleados,Servicios públicos,115982,[2],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=2&savedSearchId=1980479034&sessionId=Mv1i7ZniReqtbhCfuv4rnA%3D%3D,https://www.linkedin.com/company/115982/
BERSHKA,8 mil+ empleados,Comercio al por menor de prendas de vestir y moda,2473017,[2],1 mil mills. US$ - 1 bills. US$,https://www.linkedin.com/sales/search/company?page=2&savedSearchId=1980479034&sessionId=Mv1i7ZniReqtbhCfuv4rnA%3D%3D,https://www.linkedin.com/company/2473017/
Almirall,2 mil+ empleados,Fabricación de productos farmacéuticos,11195,[2],500 mills. US$ - 1 mil mills. US$,https://www.linkedin.com/sales/search/company?page=2&savedSearchId=1980479034&sessionId=Mv1i7ZniReqtbhCfuv4rnA%3D%3D,https://www.linkedin.com/company/11195/
